title,description
‘India contributed to post-blast economic recovery in Lanka’,"Indian firms prefer Lanka for team outings, says official"
Maruti may draw more investors after August bounce,But upside likely to be limited amid tepid earnings growth and high discounts.
US unemployment rate hits 3.5 per cent; job growth moderate,"The three-month average gain in private employment fell to 119,000, the smallest since July 2012."
Coming home: How India's IT giants are shifting their base,"Thanks to big e-governance spends and modernising businesses, India’s IT giants are beginning to find the domestic market attractive."
How GE’s marrying industrial with digital,At the heart of the unit — which helps light up a few dozen homes — is a dispatch algorithm that switches between solar and diesel and improves battery performance.
Tech Mahindra and Cisco launch 5G-enabled solution to build ‘factories of the future’,"Built in collaboration with American technology firm Cisco, this will be an end-to-end business and technology solution to enable manufacturers to achieve industry 4.0 goals. ET Bureau October 09, 2019, 17:18 IST PUNE: IT services firm Tech Mahindra announced…"
"Kotak Securities maintains buy on Talbros Automotive Components, target Rs 177",Buy  Talbros Automotive Components Ltd.  at a price target of Rs  177.0    .
"Analyst Calls: Eicher Motors, Glenmark Pharma, JSW Energy, BPCL","SBICAP Securities has retained sell rating on Eicher Motors with a target price of Rs 13,170."
"Stocks in the news: YES Bank, Titan, Minda Industries, DHFL, Aurobindo Pharma",CDSL has frozen shareholding of the promoters of debt-ridden mortgage lender DHFL.
"Pending patents key to bridge vast tech gap with US, China","India has still not woken up fully to the significance of intellectual property rights (IPR), particularly patents, and their commercial implications."
Ecommerce companies are the coolest place for summer internships,"Cos like Amazon, Flipkart, Udaan make up for dips in offers from BFSI, automobile and telecom sectors."
Vijay Shekhar Sharma on business and what it takes to win India,Vijay Shekhar Sharma on business and what it takes to win IndiaA whole generation of internet entrepreneurs have small-town roots and hunger to build something successful.
Early Diwali for Xiaomi: Tech giant reports sale of over 53 lakh devices in India during festive sale - Economic Times,Early Diwali for Xiaomi: Tech giant reports sale of over 53 lakh devices in India during festive sale Economic Times
Proposal for making online modules for SOL invited,Last date to send names is October 10
"Jhunjhunwala, Ambani, Dhoni & much of D-Street awaiting these big-bang IPOs",Some of these firms have strong balance sheets and credible financials to support this frenzy.
"Amazon, Walmart find success in rural India during sales season","The etail bandwagon is finally moving beyond the country’s urban, English-speaking population."
Hyderabad Cosplayers Club is a close-knit community of 1000 cosplay enthusiasts,A growing tribe of professionals cosplay in a different role and enjoy the limelight
Wall Street cuts losses after comments from Kudlow on trade,The high-level negotiations are set to begin on Thursday.
Rise Of E-Sports: How Gaming Is Evolving Into A Mainstream Entertainment Medium Like No Other,It is no surprise that video gaming and especially mobile gaming is a wildly popular social activity today. What many of more traditional entertainment providers were surprised by was how quickly gaming also became a spectator sport.  Back in 2014 people were…
"If Caught Cheating On PUBG Mobile, You'll Be Banned For 10 Years From The Game","When you’re playing a competitive online game, you can expect to find cheaters trying to use hacks or glitches to give themselves an edge. PUBG sees this a lot too, as does the mobile version of the game. And now they’re starting to crack down on them hard."
PlayStation 5: Everything We Know About Sony's Next-Gen Game Console Coming Out In 2020,"Sony's PlayStation 5 has been in the rumour train for quite a while, and now we have a confirmation from Sony about when the next-gen console is set to hit the shelves. Sony CEO and President Jim Ryan also shed light on what new things they're including with …"
"Here's What Happens Inside An International Game Studio In India, Where Video Games Are Built","Ubisoft recently released ‘Tom Clancy’s Ghost Recon: Breakpoint’, another title in the long line of tactical shooters for the studio. As a bonus, we got to take a trip to the Ubisoft India studio in Mumbai, to take a peek behind the curtain at how a game is m…"
Advantage BJP,"In Maharashtra, as the opposition is stuck in the past, the ruling party is promising change"
Aadhaar likely to be must for NEET,"CHENNAI: Bombarded with complaints of impersonation and fraud in the National Eligibility-cum-Entrance Tests in 2019, the National Testing Agency has ."
No more tense meets with taxman,India Business News: NEW DELHI: The government on Monday launched the national e-assessment which is expected to usher in faceless assessment of tax cases and shut out int.
faceless e-assessment scheme launched,"Dubbed as a major initiative in the direction of taxation reform, the Income-Tax Department on Monday launched a faceless e-assessment scheme to eliminate interface between an assessing officer and a taxpayer. To begin with, 58,322 income tax cases have been …"
NC delegation meets Farooq Abdullah,Farooq and his son Omar Abdullah are under preventive detention following the abrogation of Article 370 on August 5. The security has been beefed around the venue. The delegation was allowed by the Jammu and Kashmir administration to meet the father-son duo y…
35 stunning pics of Air Force Day celebrations,"Indian Air Force is celebrating its 87th anniversary with pomp and show as a mega event is being organised at the Hindon Air Force Station. From fighter jets, advanced helicopters to skydivers of the Akash Ganga team are showcasing their mind-boggling stunts …"
Blog: Why industrialists should not own banks,"When private sector banks were allowed to open in the 1990s, some economists thought big industrialists were the obvious candidates. But businesses are potential borrowers, and so should not control lending institutions: that creates an..."
Open letter to Prime Minister criticises mob lynching,"To register their protest against sedition charges slapped against 49 eminent personalities — including historian Ramchandra Guha, actor Aparna Sen and filmmakers Mani Ratnam and Adoor Gopalakrishnan"
BS-VI fuel will be available from April: Prakash Javadekar,"Vehicular pollution will come down by 80% to 90%, says Union Environment Minister."
"Nutrition Mission benefits 7,700 children",Their health is being monitored through anganwadi centres in Rajasthan
Grand solidarity meet in Wayanad today,Transport Minister A.K. Saseendran to inaugurate meet
"BJP, BDJS ties intact: Thushar","‘CPI(M), Cong. unleashing unfounded campaign’"
"Centre announces ₹1,200 cr. interim flood relief for State",This comes as a face-saver for Chief Minister Yediyurappa
"KSEB project seeks to add 1,000 MWp to grid by 2022",Initiative under Soura project of Urja Kerala Mission
Landslip on Gap road: One body recovered,Landslips recur reportedly due to unscientific road work
Training programme for hospital paramedical staff,"The Karnataka State Obstetrics and Gynaecology Association has tied up with Manyata, a body of medical training professionals, to upgrade skills of paramedical staff in hospitals in the State.India lo"
Five persons die in two road accidents in Anantapur,Incidentally both happened in a similar fashion due to the negligence of car drivers.
Personal life needs to be respected: Cong. on reports of Rahul’s abroad visit,The BJP has been attacking Gandhi and raised questions over reports of his visit abroad at a time when two key states are going to the polls.
"Mahananda boat capsize: death toll rises to 8, over 20 missing",The boat carrying close to 80 people had capsized in the river on October 3
Adalat to check case pendency,"11,987 cases to be taken up on Oct. 12"
Nationwide NRC: Centre has to set common cut-off date,"‘Several States are demanding a register, though they are competent enough to detect and deport foreign nationals’"
Delay in naming Leader of Opposition in both Houses leaves Congress legislators fuming,They are upset with the party central leadership; Karnataka legislature session to begin on October 10
KC factions defer unity parleys,Talks only after bypolls so as not to disrupt current political equations
"Hellaro, Nooreh to open Indian panorama at 50th IFFI",Festival to also screen films with audio description for the visually impaired
Striking similarities with Pinarayi incident,Woman had killed her parents and daughter within a span of four months
Balakot puts BJP in stride in Haryana,"Party helped by popularity of Narendra Modi, an important factor in Haryana."
How will purchases from Russia affect India-U.S. ties?,Will a new American law and sanctions come in the way of the S-400 Triumf missile purchase?
Does the Citizenship (Amendment) Bill go against Article 14 of the Constitution?,Why is the government pushing for the Citizenship (Amendment) Bill?
Governor’s pat for tiger conservation,Arif Mohammed Khan inaugurates valedictory of Wildlife Week observance
Colleges reopen in Kashmir but students stay away,"On Wednesday, the 66th day shutdown, normal life continued to remain disrupted across Kashmir."
Cancer-focussed incubator in KSUM,Cochin Cancer Research Centre initiative will help in early detection of the disease
Burst of creativity at Kolkata Durga pandals,"NRC, fake news, Balakot air strike — organisers tackle diverse themes to woo devotees."
"Modi government allocated over ₹40,000 crore to Mizoram through 14th Finance Commission: Amit Shah","The Union Home Minister was speaking at the inauguration of the North East Handloom and Handicraft Exhibition, organised by the North East Council, in Aizawl, Mizoram’s capital."
A campaign marked by controversies,It is a matter of prestige for LDF as UDF aims at an upset in Aroor
"Portugal's Socialists win national elections, set to rule for four more years","The center-left Socialist Party got the most votes in Portugal’s general election Sunday, leaving it poised to continue leading the government for another four years. With 226 seats in the 230-seat pa"
Six wild elephants drown after slipping off waterfall in Thai park,"Elephants are Thailand’s national animal and live in the wild in parts of the country, but their numbers have dwindled to only a few thousand."
Record number of 35 candidates in fray for Sri Lanka Presidential polls,"However, the main contest is expected to be between Gotabaya Rajapaksa and Sajith Premadasa"
"Morning digest: U.S. lawmakers appeal to end 'humanitarian crisis' in Kashmir, activists allege 200 trees hacked in Aarey yesterday, and more",A select list of stories to read before you start your day
Sirisena rules out contesting from Sri Lankan presidential elections,"It means Mr. Sirisena will leave office the day after the election, cutting short his five-year term by 52 days."
New Zealand bishop resigns after woman’s complaint of unacceptable behaviour,"Pope Francis accepted the resignation of Bishop Charles Drennan of Palmerston North, Cardinal John Dew, the metropolitan archbishop of New Zealand, said in a statement."
"Sri Lanka HC orders rearrest of ex-police chief, Defence Secretary in Easter Sunday attacks",Pujith Jayasundera and Hemasiri Fernando were granted bail by a local court three months ago.
EU ambassador to be deposed as impeachment inquiry rolls on,"For only the fourth time in U.S. history, the House of Representatives has started a presidential impeachment inquiry. House committees are trying to determine if President Donald Trump violated his o"
United Nations chief warns may not have enough money to pay staff next month,The liquidity crunch is because some member states are yet to pay what they owe
"Imran Khan arrives in China, to meet Xi Jinping","Mr. Khan was received by Chinese Minister for Culture Luo Shugang, Ambassador of China to Pakistan Yao Jing and the Pakistan officials, Pakistan’s state-run APP news agency reported."
Nirmala Sitharaman to inaugurate national tax e-assessment centre on Monday,"""The new initiative shall impart greater efficiency, transparency and accountability in the assessment process.There would be no physical interface between the tax payers and the tax officers,"" it said."
United Bank to stay profitable ahead of merger: CEO Ashok Pradhan,"He said his bank, which is back in the black, is expected to remain profitable before its merger with Punjab National Bank and Oriental Bank of Commerce."
Afghanistan says al Qaeda leader killed in September wedding party clash,"At least 40 people, including 12 children, were killed during the joint U.S.-Afghan operation, which occurred days after a U.S. drone strike aimed at militants hiding among farmers killed 32 pine nut harvesters."
Om Prakash Chautala addresses 24 meetings in two months,"On Tuesday, in his last public meetings in Bahadurgarh and Badli before he heads back to the Tihar Jail , an ailing Chautala chose to sit and address the sparse crowd."
Modi-Xi to go for sightseeing at Mahabalipuram,"Modi-Xi to go for sightseeing at MahabalipuramThe Chinese President will arrive post noon on October 11 at Chennai, which is 50 km away from Mahabalipuram, for his engagement with Prime Minister Modi."
No more tense meets with taxman,No more tense meets with taxmanFM Sitharaman had announced launching of the scheme in 2019 that would provide e-assessment of income-tax in electronic mode with no human interface.
"58,000 cases filtered for e-assessment: CBDT chairman","Mody further said that this is a pilot scheme and based on the learnings the department gets from this analysis, they will implement the system from next year."
Mobile makers to bring festival deals to stores,Retailers said the brands have promised offers or promotions during the festive season in the offline space.
Compulsory hallmarking to shield jewellery buyers,There are around 650 hallmarking centres across the country.
Bombay HC restrains Canara Bank from taking possession of Worli Bungalow,"The bungalow, mortgaged for availing a credit line, is spread over nearly one-third of an acre, is valued around Rs 150 crore based on the current market rates."
Gold falls as dollar firms ahead of trade talks,"US gold futures dropped 0.6 per cent to $1,495.20."
You gave us 300 seats and we removed Article 370: Amit Shah,‘It is Modi who formed the OBC commission to address their issues through the constitutional framework’
Oil prices slip again amid gloom over global economy,"US West Texas Intermediate (WTI) crude was at $52.69, down 12 cents."
Air quality set to worsen in north India,"Air quality set to worsen in north IndiaMay turn hazardous within weeks as a result of Diwali fireworks, crop stubble-burning and calmer weather."
Mohan Bhagwat’s speech vindicates RCEP stand: RSS affiliates,"Sangh affiliates like Swadeshi Jagran Manch fear that countries like China, Australia and New Zealand will ruin businesses and create unemployment."
ED can withhold names in Panama Papers: CIC,ED can withhold names in Panama Papers: CICThe Enforcement Directorate also reiterated exemption given to it under the law and argued that the matter is sub-judice hence details cannot be shared at this stage.
ED can withhold names in Panama Papers: CIC,ED can withhold names in Panama Papers: CICThe Enforcement Directorate also reiterated exemption given to it under the law and argued that the matter is sub-judice hence details cannot be shared at this stage.
VC appointments to central universities held up in HRD ministry,"VC appointments to central universities held up in HRD ministryThe Odisha university has been without a VC since March, and central universities of Gujarat and Kerala are also without a VC."
Govt launches eco-friendly crackers ahead of Diwali,Govt launches eco-friendly crackers ahead of DiwaliGovt announced that CSIR labs have been successful in developing various environment-friendly fireworks.
Gold sales likely to decline 50% on Dhanteras,Gold imports nosedived due to higher prices and an increase in the import duty.
Oil prices up as US-China trade talks loom,"US West Texas Intermediate (WTI) crude was at $53.16, up 35 cents or 0.7 per cent."
Survey finds rising diabetes risk in children,Survey finds rising diabetes risk in childrenOne percent of school-age children and adolescents were diabetic and three percent of school-age children and four per cent of adolescents had high total cholesterol.
"US, Allies seek backdoor access to Facebook messages","US, UK, Australia ask co to avoid end-to-end encryption without such access option"
"How gold, oil and base metals may fare today",Here are the commodity expectations from SMC Global for the day.
Pakistan fares badly in terror financing report ahead of key FATF plenary meeting,Pakistan was placed on the grey list in June last year and given a plan of action to complete it by October 2019 or face the risk of being placed on the black list with Iran and North Korea.
India can win big from inevitable $350-550bn exports moving out of China: Credit Suisse,"The Credit Suisse report, reviewed by IANS, has said that firms in China plan to move production to Vietnam, India, Taiwan and Mexico."
Global brands that backed down under China's wrath,"From airlines to luxury brands, numerous companies have had to apologise or face boycotts for offending China's views on semi-autonomous Hong Kong and self-ruled Taiwan."
Fed's Powell says US expansion is 'sustainable',"At a separate event, Chicago Fed President Charles Evans said he is open to another rate cut."
Biggest lesson from PMC's brazen crookery,Biggest lesson from PMC's brazen crookeryThis bank violated all norms to channel no less than 70% of its entire loans to just one client.
Why bankers are hesitant to report frauds,"As per the latest Reserve Bank of India (RBI) data, an unprecedented 6,801 frauds, totalling Rs 71,500 crore, were detected in FY19."
Finance Minister to inaugurate national tax e-assessment centre,"Finance Minister Nirmala Sitharaman will on Monday inaugurate the Income Tax Department’s National E-assessment Centre (NeAC), which will reduce face-to-face interaction between taxpayers and tax offi"
Bright light to study ancient scrolls,"Scientists at Britain’s national synchrotron facility have harnessed powerful light beams to virtually unwrap and decipher fragile scrolls dating back some 2,000 years in a process they hope will prov"
Wild bonnet macaques gesture intentionally,This requires complex cognitive capacity
Rethinking water management issues,NITI Aayog’s strategy for water resources is a continuation of failed policies of the past
A road to economic revival runs through agriculture,The current growth slowdown is an ideal time to implement doable agricultural reforms
Maintaining the India-China stride length,Wuhan was meant to stabilise India-China ties at a time of major global changes; the basic understanding must continue
Rural children breastfed more: survey,"Breastfeeding is inversely proportional to household wealth and other factors, says study."
Durga Puja 2019 sees some unorthodox pandal themes,"From depicting the refugee crisis due to the implementation of the National Register of Citizens, to paying homage to soldiers killed in the Pulwama attack, theme-based pandals this year were major crowd-pullers."
Foreign national arrested for smuggling drugs,"She carried reward of ₹50,000: police"
Our poll promise is the amalgamation of regional and national aspirations: Bhupendra Yadav,"BJP general secretary Bhupendra Yadav has been given charge of Assembly polls in Maharashtra. He speaks to The Hindu on polls, issues and the alliance with the Shiv Sena….What are the main issues that"
"Govt. unveils faceless I-T assessment, opens National e-Assessment Centre",‘e-Assessment to bring about efficiency by eliminating human interface’
Kalaburagi artist for Egypt event,National Lalit Kala Akademi award-winning artist Mohammed Ayazuddin Patel would be participating in a workshop-cum-art exhibition at Zamalek in Egypt on October 15 and 16.Mr. Patel exhibited his digit
Use of force: AAP leader seeks DCP’s suspension,"Alleging illegal conduct in the tree-felling issue at Aarey colony, Aam Aadmi Party’s (AAP) national executive member Preeti Sharma Menon has written to the Governor, Chief Minister, Chief Justice of"
Turlapati seeks Bharat Ratna for Pingali Venkayya,"Veteran Journalist Turlapati Kutumba Rao on Sunday said that national flag designer Pingali Venkayya deserves Bharat Ratna. Mr. Kutumba Rao lauded the effort of Vijaya Krishna Jana Jagruthi (VKJG), a"
Six students selected for State hockey team,"RamanathapuramSix students of DD Vinayagar Higher Secondary School, who were the inmates of district sports hostel of the Sports Development Authority of Tamil Nadu (SDAT), were selected for the Tamil"
CISF seizes 87 kg sandalwood,Two Sudanese nationals held without permits at airport
"Morning digest: China changes tack on Kashmir ahead of Xi visit, Republican-led probe finds Russia helped Trump, and more",A select list of stories to read before you start your day
A Bill that undercuts key constitutional values,There is ample evidence that the protection of minorities is not the genuine objective of the Citizenship Amendment Bill
"Morning digest: Elizabeth Warren urges India to respect rights of Kashmiris, Aarey tree felling sparks political storm, and more",A select list of stories to read before you start your day
An oasis of knowledge within Tihar prison walls,"From computer applications to English, inmates are learning and imparting new skills to each other at an institute opened recently on jail premises"
Governor launches 7th economic census in T.N.,Governor Banwarilal Purohit on Wednesday launched the seventh economic census in Tamil Nadu. The census is organised by the Union Ministry of Statistics and Programme Implementation. The data on emplo
Sedition annoyance,"The lower judiciary should not act reflexively on frivolous, politically motivated complaints"
Over 100 kg sandalwood seized from city airport in past 10 days,CISF personnel foil another smuggling attempt by Sudanese nationals
Ind W vs SA W | Confident India ready for the ODIs,"Mithali is back, will lead the side; Smriti out with toe fracture."
GEMINI system to aid fishermen,"To avoid communication blackouts that led to 20 fishermen going missing in the aftermath of Cyclone Okchi in 2017, a slew of government departments, research agencies and private companies have develo"
Activists sent back from Srinagar airport,NAPM appeals for complete lifting of communication curbs
'Effect of slowdown 'more pronounced' in India',"As the global economy is witnessing ""synchronized slowdown"", the effect is ""more pronounced"" this year in some of the largest emerging market economies like India, said the new International Monetary Fund (IMF) managing director, Kristalina Georgieva."
"Hrithik, Tiger starrer 'War' creates 6 new records",Hrithik Roshan and Tiger Shroff’s has literally waged ‘War’ over the box office and is just 5 core short on cashing in an estimated Rs 100 crore nett at the ticket window.
"Google, FB may face tax in line with India biz","Google, Facebook, Netflix etc. have a huge consumer base in several countries but no physical presence which is why Organisation for Economic Co-operation and Development has proposed a new global tax mechanism system for multinationals under which ‘some’ pro…"
Regional disputes should be resolved peacefully through dialogues and consultations: Chinese envoy Sun Weidong,"Over the past year, the two sides have actively implemented the important consensus between the two leaders, upgraded and improved the quality of China-India relations, says Chinese Ambassador to India Sun Weidong"
"India, China relations are of global significance: Chinese envoy Sun Weidong","Over the past year, the two sides have actively implemented the important consensus between the two leaders, upgraded and improved the quality of China-India relations, says Chinese Ambassador to India Sun Weidong"
"Hellaro, Nooreh to open Indian panorama at 50th IFFI",Festival to also screen films with audio description for the visually impaired
"Centre should have released ₹5,000 cr. as interim flood relief, says Siddaramaiah","₹1,200 crore announced by the Union government as “advance release” is not enough, he says"
Pakistan PM warns PoK residents against crossing LoC,Prime Minister Imran Khan on Saturday asked the residents of PoK not to cross the Line of Control to extend humanitarian aid to the Kashmiri people after India removed the special status of the state
CPI(M) mulls bringing in age ceiling in its decision making bodies,81-year-old S. Ramachandran Pillai is the oldest member while the youngest members are 62-year old Mohammed Salim and Nilotpal Basu.
Supreme Court declines Oil Ministry request to stay sharing of documents on Reliance penalty,Govt had levied $3-billion penalty over KG-D6 natural gas output lagging targets
How will purchases from Russia affect India-U.S. ties?,Will a new American law and sanctions come in the way of the S-400 Triumf missile purchase?
"Portugal's Socialists win national elections, set to rule for four more years","The center-left Socialist Party got the most votes in Portugal’s general election Sunday, leaving it poised to continue leading the government for another four years. With 226 seats in the 230-seat pa"
Hong Kong court rejects mask ban challenge as fresh protests break out,"As the ruling was being delivered, two unsanctioned rallies were kicking off on both sides of Victoria Harbour, with thousands of masked protesters gathering in torrential downpours."
Telcos now wooing students headed overseas,"Telcos now wooing students headed overseasAlthough international roaming accounts for 2-3% of their revenue, telcos are keen on attracting such subscribers."
Gold sales likely to decline 50% on Dhanteras,Gold imports nosedived due to higher prices and an increase in the import duty.
SBI-SG arm to offer custodian services,The company has begun to hold overseas roadshows wooing global investors to local markets.
ED can withhold names in Panama Papers: CIC,ED can withhold names in Panama Papers: CICThe Enforcement Directorate also reiterated exemption given to it under the law and argued that the matter is sub-judice hence details cannot be shared at this stage.
Effect of global 'slowdown' is 'more pronounced' in India: IMF chief,"Georgieva pointed out that the widespread deceleration means that growth in 2019-20 will fall to its ""lowest rate"" since the beginning of the decade."
Mohan Bhagwat’s speech vindicates RCEP stand: RSS affiliates,"Sangh affiliates like Swadeshi Jagran Manch fear that countries like China, Australia and New Zealand will ruin businesses and create unemployment."
'J&K leaders under house arrest to be released soon',"'J&K leaders under house arrest to be released soon'The BJP general secretary said once Governors rule is lifted and legislature takes over, constitutional entities such as Commissions for SC, Women and Minorities will be set up in the region."
Airtel raises $750 million via perpetual bonds,"The proceeds shall be used for deleveraging through refinancing, investments in subsidiaries and general corporate purpose."
Gold trades higher as hopes of trade talks fade,"Bullion counter may trade sideways, but profit booking at higher levels can be seen."
Sundeep Sikka: Nippon India MF will continue to grow 15-18%,Synergy between group asset managers of the Nippon India Mutual Fund would bear fruit
"From phones to TVs, the Chinese show goes on","Banking on their brand recall, firms like Xiaomi, OnePlus and Motorola-Lenovo are now betting big on higher-margin smart TVs."
200 to 300 militants active in J&K: DGP,200 to 300 militants active in J&K: DGPThe director general of police (DGP) said Pakistan has intensified ceasefire violations to push in as many militants as possible.
Shopping offline to get as cheap as online,"Shopping offline to get as cheap as onlineBrands like OnePlus, Xiaomi and Kodak and apparel retailers plan offers to beat the slump."
Global brands that backed down under China's wrath,"From airlines to luxury brands, numerous companies have had to apologise or face boycotts for offending China's views on semi-autonomous Hong Kong and self-ruled Taiwan."
Does this festive season herald fireworks or damp squibs? A view,"Does this festive season herald fireworks or damp squibs? A view The Reserve Bank of India has cut its key interest rate five times since February to a nine-year low, and vowed it will continue to do so until the flat-lining economy begins to resuscitate."
"India, Bangladesh sign MoU for setting up a coastal surveillance system radar in Bangladesh",India and Bangladesh today signed seven agreements.
India is home to Asia’s oldest bamboo,Two fossils dating back 25 million years were found in Makum coalfield in Assam
Maintaining the India-China stride length,Wuhan was meant to stabilise India-China ties at a time of major global changes; the basic understanding must continue
Rethinking water management issues,NITI Aayog’s strategy for water resources is a continuation of failed policies of the past
Gold loses sheen,"Fed meet, trade war, Saudi attack influence prices"
"International cannabis racket busted, 2 held",Drugs concealed in unsuspecting travellers’ luggage
India International Science Festival invites participants,"The fifth edition of the India International Science Festival jointly organised by the Department of Science and Technology along with Vijnana Bharati, an NGO working towards awareness of science, is"
Vijayawada airport is Haj boarding point,"Haj pilgrims from Andhra Pradesh can hereafter board the international flight at Vijayawada International Airport, Gannavaram, as the Centre granted embarkation point status to the airport, according"
Mithali Raj becomes first female to complete 2 decades in international cricket,India captain Mithali Raj on Wednesday became the first female player to last more than 20 years in international cricket. She achieved the feat while leading India to an emphatic eight-wicket win ove
Mithali Raj becomes first female player to complete 2 decades in international cricket,India captain Mithali Raj on Wednesday became the first female player to last more than 20 years in international cricket. She achieved the feat while leading India to an emphatic eight-wicket win ove
Belarus calls for U.S. role in Ukraine peace talks,"A diplomatic breakthrough last week potentially opened the way for an international summit between France, Germany, Russia and Ukraine aimed at finding a way to end the fighting."
Force to reckon with,"On this International Day of the Girl Child, let us aim to surpass all expectations and empower ourselves to achieve greater heights."
Mumbai port sees rise in foreign travellers,New domestic cruise routes to boost traveller numbers within country too
"Hellaro, Nooreh to be openers of Indian panorama at 50th IFFI",Festival to also screen films with audio description for the visually impaired
Amit Shah is targeting Muslims through NRC: Maulana Madani,‘His comments generate hatred and promote enmity’
"Thousands rally against Haitian president, clash with police",Several protesters held up signs asking the U.S. for help. “Trump give Haiti one chance” read one
Spellathon Spelling Bee competition under way,Four students to be selected for final
"Greenwich, the historic home of the prime meridian","It was on October 13, 1884 that the Greenwich meridian was officially adopted as the prime meridian, the imaginary north-south line where the longitude was 0 degrees. A.S.Ganesh gives you a glimpse of how this came to be and where the true prime meridian of t…"
We will push hard for Kabaddi’s inclusion in 2024 Olympics: Rijiju,Sports Minister Kiren Rijiju has said that the government will try to push for the inclusion of Kabaddi in the 2024 Olympic Games in Paris.“Kabaddi is a perfect example of how an indigenous sport has
Nucleus of T20 World Cup team ready: Harmanpreet Kaur,Women’s skipper is first Indian to play 100 T20Is
"Destroying ‘boys don’t cry’, one tweet at a time","City NGO to curate Twitter conversation today on toxic masculinity, mental health of male children"
MADURAI TODAY,"RELIGIONSelva Vinayagar Temple: Discourse on ‘Aanmeega Jothidam’ by P.A. Ponniah, Railway Colony, 7 p.m.Tiruvalluvar Kazhagam: Discourse on ‘Moovar Kural’ by M. Vijayaraman, North Aadi Street, Meenaks"
Centre to help stranded Indian workers,"Union Minister V. Muraleedharan discusses issue with K.V. Adbul Khader, MLA"
"Bank invokes insolvency code, attaches seaplane",Company defaulted on loan of over ₹4 crore obtained in 2014
Germany waste two-goal lead to draw 2-2 with Argentina,"The Germans, missing a dozen players and without a single world champion in the starting line-up for the first time since the 2014 World Cup final, fielded a callow team including newcomers Robin Koch and Luca Waldschmidt."
Imran Khan warns PoK residents against crossing LoC,Prime Minister Imran Khan on Saturday asked the residents of PoK not to cross the Line of Control to extend humanitarian aid to the Kashmiri people after India removed the special status of the state
Mangalore University wins cross-country race,"Mangalore University won for the fifth time in the All India Inter University Cross Country Championship for Men 2019-20, organised by Mangalore University (M.U.) and Alva’s Education Foundation, Mood"
CISF seizes 87 kg sandalwood,Two Sudanese nationals held without permits at airport
‘Privatisation of cargo operations in NMPT will affect local employment’,"It will severely affect employment opportunities for locals, says MLA"
"To live in diversity, you need knowledge: Governor",Know India participants call on Governor
Campaign to stop use of plastic begins in Manipal,‘StoPlastic Manipal’ has been taken up by students of MIC
Late detection hobbles probe in Kerala serial murder case,"Police may consult foreign laboratories, build circumstantial evidence"
Towards a strategic partnership,The exchanges between India and Mexico this week represent an opportunity to strengthen bilateral ties
"‘With jazz, one can improvise freely’","Composer, multi-instrumentalist and vocalist, Camille Thurman is a flag bearer of jazz traditions while paying tribute to its heroes"
Effects of global ‘synchronized slowdown’ more pronounced in India: IMF chief,"The global economy is witnessing “synchronized slowdown”, which will result in slower growth for 90% of the world this year, and the effect is even “more pronounced” in some of the largest emerging ma"
Wok To Walk Hyderabad: Countless permutation-combinations of hot dishes,Wok To Walk finally tosses up a party in the city
India starts sharing maritime data,Information Fusion Centre — Indian Ocean Region (IFC-IOR) was set up last year
US Congress committee urges India to end communication blackout in Kashmir,"India’s communication blackout is having a “devastating impact” on the lives and welfare of the people of Kashmir, a powerful U.S. Congressional Committee has said, urging New Delhi to lift its more t"
CPCRI to host two-day farm mela at Kidu,"Event will expose farmers to latest technologies, rainwater harvesting methods"
"In Mandhana’s absence, debutant Punia powers India to emphatic win",Debutant Priya Punia starred in injured Smriti Mandhana’s absence following a fine bowling performance to set up India’s emphatic eight-wicket win over South Africa in the first ODI here on Wednesday.
"Arvind Kejriwal unlikely to take part in Denmark climate summit, say sources",There has been no clearance from the Ministry of External Affairs so far
"Shifting stories of aspiration, loss and exploitation","Aadyam’s next production Mosambi Narangiis a rollicking rib-tickler with an undercurrent of melancholy, says Vikram Phukan"
A life in the balance,India has other options to seek enforcement of the ICJ’s verdict in the Kulbhushan Jadhav case
Curtain set to fall on drama that went on longer than necessary,"Uncertainty is never a good companion in sport, and, hopefully a new-look BCCI will have taken on board recent lessons."
Politics of sand and water,"Marathi short film ‘Valu’, produced by Hyderabad-based Mayur Dharod, will be screened at the Austin Film Festival"
World Youth chess championship: Abinandhan continues to scintillate,Praggnanandhaa and Rakshitta in joint lead in their categories.
Saturn overtakes Jupiter as the planet with most moons,"With the discovery of 20 new moons, the ringed planet now has a total of 82 moons against Jupiter's 79."
Over 100 kg sandalwood seized from city airport in past 10 days,CISF personnel foil another smuggling attempt by Sudanese nationals
Ind W vs SA W | Confident India ready for the ODIs,"Mithali is back, will lead the side; Smriti out with toe fracture."
Albanian teens make app to help victims of domestic violence,Three 16-year-old girls are working to help people access support networks through technology
SEASONED travellers,It’s September and migratory birds make their yearly journey to their seasonal home. Let’s welcome our winged guests with a promise to save them from plastic...
"Dolls, dandiya and dussehra",Different cultures in India celebrate the elaborate Navaratri festival in their own unique way. But the cause for celebration is one — to commemorate the triumph of good over evil
Design and the city,"At Hyderabad Design Week, the Hyderabad Urban Lab will present select stories that encapsulate the city’s design innovation in the last 100 years"
Salt packets should carry tobacco-style health warning: Position statement,"To reduce dietary salt intake, a position statement published earlier this week in the Journal of Clinical Hypertension suggests that salt sold in supermarkets for consumption and salt dispensers in r"
